tract2010,Abandoned Bicycle,Abandoned Building,Abandoned Vehicles,Aircraft Noise Disturbance,Alert Boston,Animal Found,Animal Generic Request,Animal Lost,Animal Noise Disturbances,Automotive Noise Disturbance,BWSC General Request,BWSC Pothole,Bed Bugs,Bicycle Issues,Big Buildings Online Request,Big Buildings Recycling (INTERNAL),Billing Complaint,Breathe Easy,Bridge Maintenance,Building Inspection Request,CE Collection,Call Log,Capital Improvement Long Term,Carbon Monoxide,Catchbasin,Cemetery Maintenance Request,Chronic Dampness/Mold,City/State Snow Issues,Construction Debris,Contractor Complaints,Contractors Complaint,Cross Metering - Sub-Metering,Dumpster & Loading Noise Disturbances,Egress,Electrical,Empty Litter Basket,Equipment Repair,Exceeding Terms of Permit,Fire Department Request,Fire Hydrant,Fire in Food Establishment,Food Alert - Confirmed,Food Alert - Unconfirmed,General Comments For An Employee,General Comments For a Program or Policy,General Lighting Request,General Traffic Engineering Request,Graffiti Removal,Ground Maintenance,HP Sign Application New,Heat - Excessive  Insufficient,Heat/Fuel Assistance,Highway Maintenance,Illegal Auto Body Shop,Illegal Dumping,Illegal Occupancy,Illegal Posting of Signs,Illegal Rooming House,Illegal Use,Illegal Vending,Improper Storage of Trash (Barrels),Install New Lighting,Item Price Missing,Knockdown Replacement,Lead,Litter Basket Maintenance,Loud Parties/Music/People,Maintenance - Homeowner,Maintenance Complaint - Residential,Major System Failure,Mechanical,Mice Infestation - Residential,Misc. Snow Complaint,Missed Trash/Recycling/Yard Waste/Bulk Item,Missing Sign,Mosquitoes (West Nile),Municipal Parking Lot Complaints,Needle Pickup,New Sign  Crosswalk or Pavement Marking,New Tree Requests,New Tree Warrantee Inspection,News Boxes,No Price on Gas/Wrong Price,No Utilities - Food Establishment - Electricity,No Utilities - Food Establishment - Flood,No Utilities - Food Establishment - Sewer,No Utilities - Food Establishment - Water,No Utilities Residential - Electricity,No Utilities Residential - Gas,No Utilities Residential - Water,No-Tow Complaint Confirmation,Notification,Occupying W/Out A Valid CO/CI,Oil Truck - No Receipt,Overcrowding,Overflowing or Un-kept Dumpster,PWD Graffiti,Park Improvement Requests,Parking Enforcement,Parking Meter Repairs,Parking on Front/Back Yards (Illegal Parking),Parks General Request,Parks Lighting/Electrical Issues,Pavement Marking Inspection,Pavement Marking Maintenance,Pest Infestation - Residential,Phone Bank Service Inquiry,Pick up Dead Animal,Pickup/Clear Conduit,Pigeon Infestation,Planting,Plumbing,Poor Conditions of Property,Poor Ventilation,Private Parking Lot Complaints,Product Short Measure,Protection of Adjoining Property,Public Events Noise Disturbances,Public Works General Request,Rat Bite,Recycling Cart Inquiry,Recycling Cart Return,Rental Unit Delivery Conditions,Request for Litter Basket Installation,Request for Pothole Repair,Request for Recycling Cart,Request for Snow Plowing,Request for Snow Plowing (Emergency Responder),Requests for Directional or Roadway Changes,Requests for Street Cleaning,Requests for Traffic Signal Studies or Reviews,Roadway Repair,Rodent Activity,Rooftop & Mechanical Disturbances,Scale Not Visible,Scanning Overcharge,Schedule a Bulk Item Pickup,Schedule a Bulk Item Pickup SS,Sewage/Septic Back-Up,Short Measure - Gas,Sidewalk Cover / Manhole,Sidewalk Repair,Sidewalk Repair (Make Safe),Sign Repair,Sign Shop WO,Snow Emergency,Snow/Ice Control,Space Savers,Squalid Living Conditions,Sticker Request,Street Light Knock Downs,Street Light Longterm Repair,Street Light Outages,StreetLight Pole WO,Student Move-in Issues,Student Overcrowding,Traffic Signal Inspection,Traffic Signal Repair,Transportation General Request,Trash on Vacant Lot,Tree Emergencies,Tree Maintenance Requests,Tree in Park,Undefined Noise Disturbance,Unit Pricing Wrong/Missing,Unsafe Dangerous Conditions,Unsanitary Conditions - Employees,Unsanitary Conditions - Establishment,Unsanitary Conditions - Food,Unsatisfactory Living Conditions,Unsatisfactory Utilities - Electrical  Plumbing,Unshoveled Sidewalk,Upgrade Existing Lighting,Utility Call-In,Utility Casting Repair,Valet Parking Problems,Walk-In Service Inquiry,Water in Gas - High Priority,Watermain Break,Work Hours-Loud Noise Complaints,Work w/out Permit,Working Beyond Hours,Zoning
25025100200,3,1,84,0,0,5,41,3,1,1,2,0,6,1,0,0,0,4,0,15,29,0,0,4,4,0,9,1,0,4,10,11,0,0,8,2,1,2,0,0,0,0,0,5,1,7,0,5,3,0,36,0,0,4,22,7,1,4,0,0,60,1,0,4,3,0,1,8,10,5,2,12,5,196,8,0,0,2,5,1,0,0,0,0,0,0,0,2,1,7,5,14,0,0,0,2,9,0,219,0,5,0,0,1,0,3,0,30,0,0,0,1,58,0,0,0,5,0,0,0,1,33,1,1,52,90,46,0,0,150,0,6,19,0,0,0,304,59,2,0,0,4,21,44,0,0,0,4,1,30,7,0,28,3,0,0,3,1,2,5,11,20,0,1,0,9,1,1,3,106,0,47,0,0,1,0,0,0,0,1,17,5,0
25025100300,3,4,212,0,0,4,40,6,0,0,3,1,3,1,0,0,0,8,0,18,54,0,0,2,11,0,7,1,5,9,7,11,0,2,8,3,12,4,0,2,0,1,2,4,0,9,1,18,4,0,19,0,0,11,27,6,2,7,0,0,51,2,0,0,6,0,4,10,4,3,5,14,10,220,8,0,0,6,14,3,0,0,0,0,0,0,0,5,1,5,0,9,0,0,0,2,19,0,179,1,17,0,0,0,0,10,0,75,0,0,0,1,71,0,0,0,6,0,8,0,0,59,2,1,69,141,31,3,0,252,2,3,14,0,0,0,405,116,4,0,5,4,50,25,0,0,0,11,3,59,5,0,54,2,0,0,1,0,7,2,14,48,0,1,0,9,0,3,4,91,3,26,1,0,0,0,0,0,0,3,23,2,4
25025100400,9,8,121,0,0,8,53,3,1,1,1,2,9,1,0,2,0,0,0,27,92,0,0,3,7,0,11,1,3,14,18,8,1,1,12,4,2,3,0,5,0,0,1,17,1,11,1,13,4,0,48,0,0,0,39,8,2,5,0,2,123,3,0,5,3,1,2,12,10,2,3,11,16,365,5,0,0,2,11,40,0,0,0,0,0,0,0,4,1,14,0,19,0,0,1,7,22,0,686,0,16,0,0,0,0,20,0,71,0,0,0,7,121,0,0,0,6,0,9,1,3,78,1,1,62,215,63,2,0,314,0,1,53,0,0,1,523,200,0,1,5,10,69,66,0,0,1,22,1,92,8,0,109,5,0,0,2,0,6,3,37,121,0,1,1,32,0,7,3,93,13,136,1,0,1,0,0,0,0,2,32,7,1
25025100500,15,2,267,0,0,15,76,7,0,1,9,1,5,0,0,4,0,3,0,49,79,0,0,5,12,0,15,2,2,18,16,22,0,1,14,9,79,11,0,3,0,0,2,7,2,20,1,31,95,0,65,1,0,28,45,18,3,4,0,2,286,1,0,6,0,0,4,8,17,2,1,21,39,498,16,1,0,14,12,38,0,0,0,0,0,0,0,3,1,5,3,21,0,0,2,8,6,0,1378,0,13,7,4,2,0,36,0,70,0,0,0,3,139,0,0,0,5,1,8,0,0,54,0,5,160,167,72,3,0,434,3,2,91,0,0,0,623,201,5,0,5,9,66,67,0,0,0,45,2,76,5,0,100,10,1,0,2,0,7,10,42,154,0,1,0,22,0,7,2,146,12,133,0,0,0,0,0,0,0,1,70,8,0
25025100601,9,7,202,2,0,9,46,8,2,2,4,0,2,0,0,1,1,0,0,25,86,0,0,2,8,0,2,3,5,17,30,5,2,1,11,9,45,8,1,1,0,0,0,20,3,19,1,5,50,0,28,0,0,6,29,8,2,5,0,0,209,3,0,0,0,0,2,11,17,1,0,10,32,364,4,0,0,23,14,64,0,0,0,0,0,1,0,1,0,21,1,17,1,0,3,1,0,0,593,0,8,2,2,0,0,21,0,57,0,1,1,1,119,0,0,0,5,0,5,0,1,54,0,1,112,194,49,4,0,318,2,4,54,0,0,0,526,233,1,0,5,8,117,30,0,0,0,61,0,101,8,0,64,3,1,0,3,0,6,1,24,137,2,1,0,27,1,7,4,65,19,165,0,0,0,0,0,0,0,4,57,10,0
25025100603,6,2,132,0,0,4,26,8,9,0,1,0,2,0,0,0,0,0,0,20,34,0,0,3,2,0,3,0,1,5,10,1,0,1,6,12,18,5,0,3,0,0,2,8,1,6,0,7,36,0,6,0,0,5,11,9,1,3,0,0,56,2,0,2,0,0,1,6,2,0,0,2,17,201,0,0,0,22,5,2,0,0,0,0,0,1,0,2,1,1,0,10,0,0,0,6,9,0,285,0,7,1,1,0,0,22,0,25,0,0,0,0,106,0,0,0,4,0,1,0,2,27,0,1,99,86,48,0,0,96,2,1,29,0,0,1,156,80,1,1,3,3,32,25,0,0,0,7,0,61,4,0,51,3,0,0,2,0,2,2,8,34,0,0,0,8,0,10,4,25,2,62,0,0,0,0,0,0,0,0,38,12,0
25025100700,4,0,173,0,0,10,48,9,4,0,4,1,0,0,0,1,0,0,0,28,37,0,0,1,7,0,4,3,9,11,17,2,2,2,10,15,54,10,0,5,1,1,1,10,2,7,2,0,74,0,11,0,0,2,27,4,0,1,0,1,83,0,0,1,0,0,0,6,2,0,2,0,18,521,2,0,0,26,11,29,0,0,0,1,0,0,0,0,0,0,0,13,1,0,1,6,0,1,537,0,7,1,0,1,1,10,0,81,0,2,0,7,98,0,0,0,6,0,2,0,1,57,0,0,92,176,83,0,0,122,4,3,52,2,0,0,431,276,2,5,9,13,107,32,0,0,2,15,0,120,11,0,104,2,0,0,3,0,2,6,43,118,1,0,0,20,2,15,2,14,1,86,0,1,1,0,0,0,0,2,29,12,2
25025100800,3,2,194,0,1,12,73,6,6,0,6,3,3,0,0,2,1,0,0,45,53,0,0,1,10,0,2,2,7,27,21,5,0,2,14,4,34,5,0,9,0,2,2,26,2,21,0,12,33,0,7,0,0,1,44,6,1,7,0,2,63,1,0,9,1,0,6,8,6,7,0,6,25,615,6,0,0,37,8,43,0,0,0,0,0,0,0,3,1,5,0,18,0,0,0,2,16,0,722,1,16,3,3,1,0,21,0,90,0,0,0,3,86,0,0,0,15,0,14,3,3,63,0,1,107,203,116,3,0,185,2,11,72,0,0,0,450,243,2,0,9,3,94,50,0,0,0,18,2,119,12,0,120,10,0,0,3,2,5,1,51,161,5,1,0,19,0,4,3,44,4,102,0,0,1,0,0,0,0,2,51,8,3
25025100900,8,9,156,0,0,8,49,5,0,0,7,3,1,1,0,1,0,2,0,39,49,0,0,2,8,0,9,1,1,19,26,9,0,2,22,4,28,7,0,4,0,0,1,17,2,17,2,13,45,0,8,0,0,3,34,7,6,6,0,2,107,2,4,8,0,2,1,4,7,7,2,6,14,422,11,0,0,17,18,48,0,0,0,0,0,0,0,4,0,5,1,17,0,0,2,3,7,0,145,0,8,2,0,0,0,10,0,70,0,0,0,1,145,0,0,3,4,0,11,1,1,49,2,1,153,140,58,3,1,165,3,6,31,1,0,0,429,141,4,0,5,8,82,68,0,0,0,3,0,82,15,0,167,10,0,0,7,2,3,3,39,193,2,1,0,19,1,8,6,41,1,87,0,0,2,0,0,0,0,2,37,22,0
25025101001,9,8,231,0,0,4,60,6,2,0,9,2,5,0,0,0,0,4,0,34,66,0,0,2,12,0,7,0,3,17,10,18,1,1,25,10,24,4,0,3,1,0,0,18,3,18,3,54,57,0,22,0,0,20,99,13,0,8,0,7,95,0,1,5,0,3,5,4,10,5,9,8,22,409,5,1,0,9,19,18,0,0,1,0,0,0,0,12,6,11,0,24,0,0,0,7,11,1,147,0,20,8,1,0,0,9,0,95,0,0,0,2,176,1,1,0,6,1,16,0,3,62,1,4,190,134,117,1,0,362,0,9,15,2,0,0,550,122,1,1,3,8,61,40,0,0,0,17,2,63,10,0,125,1,0,0,1,0,7,10,29,146,5,3,0,20,0,10,3,100,1,77,3,0,0,0,0,0,0,1,21,5,1
25025101002,3,0,66,0,0,1,55,4,1,0,3,1,12,0,0,1,0,4,0,20,20,0,0,1,10,0,21,1,2,14,5,7,0,1,14,13,4,1,0,4,0,0,0,22,2,25,3,4,10,0,33,0,0,7,34,7,2,2,0,1,66,1,0,5,0,0,2,7,19,2,3,9,14,377,17,0,0,8,12,30,0,0,0,0,0,0,3,3,1,8,0,22,0,0,2,8,3,0,101,0,5,2,0,0,0,31,0,88,1,0,0,3,115,3,0,0,16,0,10,2,1,41,2,3,70,103,58,4,0,153,5,5,17,0,0,0,447,122,3,0,3,5,56,69,0,0,0,5,3,53,4,0,105,2,0,0,7,0,5,4,39,136,1,1,0,17,2,5,7,82,3,107,0,0,0,0,0,1,0,2,14,5,1
25025101101,4,2,78,0,0,2,34,5,2,0,3,0,6,1,0,0,0,2,0,20,26,0,0,3,3,0,9,0,4,4,6,14,0,0,5,5,1,0,0,3,1,0,2,6,2,5,3,4,1,0,34,0,0,4,23,5,2,7,0,0,47,0,0,1,0,0,5,9,8,3,1,12,7,204,10,0,0,5,9,11,0,0,0,0,0,0,0,3,5,7,0,14,0,0,0,1,3,0,95,0,3,0,0,0,0,7,0,42,0,1,0,2,96,0,0,0,3,0,7,1,0,13,0,1,41,63,34,1,0,143,0,3,16,0,0,0,359,84,3,0,1,4,25,51,0,1,0,25,2,27,3,0,37,2,0,0,0,0,5,4,14,58,0,0,0,13,1,3,1,82,5,27,0,0,0,0,0,0,0,1,12,2,1
25025101102,7,5,85,0,0,8,49,6,1,0,4,2,12,1,0,0,0,6,0,25,71,0,0,9,6,0,14,1,2,4,7,20,1,1,15,5,34,0,0,1,0,3,1,12,2,6,1,8,21,0,66,1,0,10,26,5,2,2,0,1,60,0,0,3,1,1,3,7,16,3,1,30,13,254,10,0,0,6,17,19,0,0,0,0,0,0,0,4,1,10,0,23,0,0,0,4,10,0,103,0,6,2,3,1,0,10,0,54,0,0,0,2,71,1,0,0,4,0,5,0,1,34,0,7,103,109,55,0,0,186,1,0,20,0,0,1,476,134,0,2,1,3,28,58,0,2,0,25,2,47,5,0,46,4,0,0,4,2,2,6,15,54,0,0,0,20,1,3,1,152,16,56,0,0,1,0,0,0,0,4,12,5,0
25025110103,16,3,136,2,0,10,56,7,4,3,3,4,2,2,1,1,1,4,0,47,108,0,0,2,6,1,10,2,3,23,36,2,0,0,12,9,31,5,0,5,0,0,1,14,1,18,0,158,13,0,10,0,0,1,36,4,2,4,0,0,203,1,0,7,2,0,2,13,6,13,2,13,19,373,12,0,0,46,22,46,0,0,0,0,0,0,0,2,0,10,0,19,2,0,2,4,24,0,1294,0,6,3,8,0,0,13,0,106,0,0,0,3,90,0,0,0,9,0,8,0,0,17,0,4,242,89,104,1,0,304,9,5,17,0,0,1,334,178,2,0,7,42,107,99,0,0,0,62,3,96,11,0,117,14,5,0,21,2,9,4,34,127,0,3,0,43,2,4,5,64,5,291,0,0,0,0,0,0,0,2,37,21,0
25025110201,1,1,78,1,0,4,18,5,0,0,1,0,1,0,0,0,0,0,0,8,21,0,0,1,2,0,2,0,5,2,5,3,0,1,4,4,1,2,0,3,0,0,1,6,2,2,0,26,1,0,11,0,0,1,26,9,0,2,0,1,28,0,0,1,0,0,1,2,4,2,0,2,6,151,1,0,0,5,1,29,0,0,0,0,0,0,0,2,0,4,0,6,0,0,0,1,3,0,71,0,6,0,0,0,0,4,0,31,0,0,0,0,40,1,0,1,2,0,0,0,0,7,0,0,102,30,22,1,0,184,3,2,10,0,0,0,106,48,2,0,0,10,23,22,0,0,0,0,1,23,7,0,31,2,0,0,1,0,3,1,13,58,0,0,1,6,0,1,2,34,0,35,0,1,2,0,0,0,0,0,10,3,2
25025110301,0,3,92,2,0,8,41,4,1,1,3,2,1,0,0,0,0,0,0,21,34,0,0,0,5,0,1,1,4,10,8,8,0,1,8,1,22,2,0,4,0,2,4,14,1,9,2,37,16,0,6,0,0,4,24,11,2,0,0,1,44,1,0,0,1,1,2,7,0,1,3,2,5,262,1,0,0,5,13,27,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,2,8,0,173,0,4,1,0,1,0,5,0,66,0,0,1,5,116,0,0,0,4,0,7,0,1,7,1,1,113,48,49,1,1,207,1,3,14,0,0,0,210,100,0,0,1,11,34,36,0,0,0,14,1,81,4,0,95,0,0,0,2,0,2,6,22,131,0,1,0,11,3,18,11,16,0,93,0,0,0,0,0,0,0,1,24,7,1
25025110401,1,0,98,1,0,0,32,2,1,0,6,0,2,0,0,0,1,0,0,21,32,0,0,0,1,0,0,0,0,11,16,12,0,0,1,2,52,3,0,2,0,2,1,25,3,3,2,7,57,0,5,0,0,3,22,2,3,1,0,0,47,0,0,1,0,0,2,1,0,1,0,5,10,271,7,0,0,17,13,25,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,2,5,0,369,0,3,8,2,2,1,7,0,65,0,0,0,0,35,1,0,0,4,1,3,0,0,11,0,0,105,60,57,0,0,134,2,2,21,0,0,1,243,142,2,0,2,22,50,52,0,0,0,33,0,54,4,0,73,3,0,0,3,0,2,1,38,93,2,0,0,5,0,3,0,23,0,113,0,0,0,0,0,0,0,0,23,6,1
25025110403,2,0,146,3,0,8,54,8,2,1,7,1,5,0,1,0,1,1,0,18,33,0,0,0,10,0,3,0,3,12,14,4,0,2,12,0,1,10,0,3,0,0,0,11,3,17,0,6,0,0,8,0,0,12,25,7,0,2,0,2,39,0,0,1,1,0,3,1,3,3,0,7,16,302,5,3,0,10,16,32,0,0,0,0,0,0,0,1,1,4,0,11,2,0,3,3,12,0,195,0,10,2,1,0,0,5,0,75,0,0,0,4,85,0,0,0,20,0,6,0,0,17,0,0,178,75,67,3,0,124,1,4,30,0,0,0,357,214,6,0,9,19,95,42,1,0,0,14,2,72,4,0,122,2,0,0,5,0,4,4,32,90,3,5,1,15,0,0,1,26,2,124,2,0,0,0,0,0,0,2,28,3,4
25025110501,2,0,89,0,0,1,33,2,2,0,2,0,0,0,0,0,0,0,0,33,17,0,0,0,7,0,2,0,1,9,15,4,0,0,5,3,2,3,0,1,0,0,0,10,0,16,0,11,1,0,4,0,0,5,13,2,0,4,0,0,44,0,1,1,2,0,1,5,2,8,5,2,10,297,3,0,0,5,8,70,1,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,1,0,130,0,3,0,1,0,0,22,0,52,0,1,0,6,51,0,0,0,1,0,3,0,0,24,2,0,72,62,35,1,0,114,0,1,38,1,0,0,300,202,0,0,0,13,84,35,1,0,0,26,0,66,2,0,102,2,0,0,2,0,0,2,17,122,0,0,1,6,0,2,1,12,1,150,0,0,0,0,0,0,0,2,24,9,0
25025110502,3,5,172,2,0,7,39,3,4,0,4,2,2,0,0,0,0,0,0,41,40,0,0,1,12,0,4,4,7,6,13,4,0,1,18,42,10,4,0,7,2,2,2,9,4,13,0,57,10,0,15,0,0,3,22,7,11,6,0,6,98,1,0,1,0,1,3,10,3,1,1,4,18,212,3,0,0,12,8,42,0,0,0,1,0,0,0,0,1,6,1,12,1,0,0,3,16,0,499,0,4,2,3,1,0,8,0,62,0,0,0,2,110,0,0,0,6,0,5,2,0,7,0,3,121,47,44,0,0,241,0,3,41,1,0,1,339,161,0,0,3,19,113,101,0,0,0,29,2,56,1,0,93,1,0,0,1,1,2,0,12,91,0,0,2,28,3,8,10,31,3,250,0,0,0,0,0,0,0,1,21,6,6
25025110601,0,2,20,0,0,3,26,3,2,0,2,1,0,0,0,0,0,0,0,49,12,0,0,0,10,0,0,0,0,8,9,0,0,0,9,0,1,4,0,3,0,0,0,8,2,9,0,0,4,0,1,0,0,0,16,1,1,1,0,1,36,0,0,2,0,0,0,3,0,0,0,1,10,332,6,1,0,1,9,54,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,36,0,0,2,0,3,2,4,0,64,0,0,1,0,13,0,0,0,0,0,5,0,0,10,0,0,169,42,42,0,0,57,5,5,12,0,0,0,225,222,0,0,4,37,118,33,0,0,0,1,2,76,3,0,91,2,0,0,0,0,2,0,64,239,0,0,0,3,0,2,1,4,1,62,0,0,1,0,0,0,0,2,7,0,0
25025110607,10,3,157,0,0,5,86,10,0,3,8,3,1,1,0,1,1,0,0,71,55,0,0,0,9,0,0,2,2,17,21,3,0,0,16,12,76,9,1,4,1,1,0,9,4,15,1,26,57,0,3,0,0,1,18,6,6,2,0,1,106,1,0,1,0,0,1,2,2,1,1,5,31,496,4,0,3,8,18,110,0,0,0,1,0,0,0,0,0,4,0,5,0,0,1,1,23,1,531,0,16,5,9,5,8,13,0,118,0,0,0,4,67,1,0,0,8,0,18,1,0,28,0,1,143,64,69,1,0,231,1,9,40,0,0,1,440,314,0,0,7,36,171,132,0,0,0,26,0,105,7,0,116,2,0,0,5,2,6,3,62,250,1,0,0,30,2,6,1,13,1,188,2,1,1,0,0,0,0,4,27,18,0
25025120103,7,1,50,1,0,1,28,0,1,0,1,0,0,1,0,0,0,0,0,21,17,0,0,0,6,0,0,0,0,10,9,0,0,0,7,9,31,1,0,0,0,1,1,10,0,13,1,20,19,0,11,0,0,0,7,1,2,0,0,0,25,0,0,1,0,1,0,3,0,1,0,0,4,201,3,0,1,9,7,26,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,17,0,136,0,1,0,2,0,0,1,0,32,0,0,0,0,16,0,0,0,0,0,3,0,0,40,0,0,45,81,31,2,0,84,1,0,5,0,0,0,96,87,0,0,3,19,56,44,0,0,0,6,0,58,2,0,57,5,0,0,2,0,0,1,13,70,0,1,0,7,0,10,3,4,0,57,1,0,1,0,0,0,0,2,8,2,0
25025120104,2,4,92,1,0,2,16,3,1,1,1,0,1,0,0,0,0,1,0,22,13,0,0,2,7,0,0,0,8,4,9,0,0,0,7,4,1,1,0,4,0,0,0,1,1,12,0,28,0,0,3,0,0,0,7,0,0,1,0,0,18,0,0,0,0,1,0,3,1,4,0,3,9,275,1,0,0,13,10,3,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,1,18,0,233,0,1,0,0,0,0,8,0,26,0,0,0,0,32,0,0,0,5,0,4,0,0,46,0,0,41,99,13,0,0,56,0,1,40,0,0,0,87,74,1,0,1,12,29,54,1,0,0,9,1,47,0,0,46,0,0,0,0,0,1,2,7,13,0,0,0,8,0,1,1,18,2,31,0,0,0,0,0,0,0,2,9,4,0
25025120105,1,0,12,0,0,0,34,1,2,0,5,0,0,0,0,0,1,0,0,28,12,0,0,0,10,0,0,0,2,11,15,0,0,0,5,0,2,4,0,11,0,0,1,7,0,6,2,2,14,0,0,0,0,0,10,1,3,1,0,0,28,1,0,0,0,0,0,3,0,6,2,0,11,285,0,0,0,3,2,24,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,0,0,118,0,1,0,0,0,0,1,0,67,0,0,0,3,31,0,0,0,3,0,5,0,0,29,0,0,138,59,39,0,0,79,6,7,11,1,0,0,133,121,0,0,5,21,64,35,0,0,0,0,2,55,6,0,94,0,0,0,14,0,1,0,53,98,0,1,0,6,0,0,0,1,1,109,0,0,0,0,0,0,0,1,18,8,1
25025120201,24,7,95,0,1,3,42,4,4,0,5,0,6,2,0,0,0,0,0,22,61,0,0,0,11,0,2,1,8,29,78,9,0,4,11,6,22,11,0,2,0,0,0,14,2,8,1,116,40,0,15,0,0,2,26,7,2,2,0,2,126,0,0,5,5,0,1,10,5,2,0,4,24,365,9,0,0,41,17,27,0,0,1,0,0,0,0,6,3,21,1,17,0,0,0,2,23,0,413,0,3,2,16,0,0,20,0,112,0,0,0,1,112,1,0,0,5,0,8,1,0,25,0,1,177,101,31,0,0,294,1,4,73,0,0,0,144,113,4,0,2,11,75,85,0,0,0,27,0,78,6,0,66,6,0,0,4,0,9,3,11,62,0,0,0,22,1,1,0,41,13,214,0,0,1,0,0,2,0,9,44,34,1
25025120301,9,4,162,7,0,7,59,6,2,0,4,2,2,4,0,2,0,0,0,50,90,0,0,0,4,0,5,0,2,17,46,11,0,1,24,16,81,6,0,1,0,0,1,8,3,20,0,64,37,0,26,0,0,0,31,6,1,2,0,0,145,3,0,2,0,1,2,9,5,6,3,9,12,315,3,1,0,89,16,10,0,0,1,0,1,0,0,3,1,4,5,11,1,0,0,3,41,0,658,0,5,3,3,0,0,27,0,109,0,0,0,3,153,0,0,0,10,0,8,1,1,32,1,2,132,192,46,0,0,246,0,5,86,1,0,1,268,125,2,0,7,24,219,110,0,0,0,31,1,117,12,0,97,5,2,0,2,0,8,7,34,108,3,1,0,39,1,8,2,71,1,256,1,0,2,0,0,0,0,6,30,22,1
25025120400,31,1,179,4,0,6,74,9,1,0,5,4,2,1,0,2,0,0,0,49,61,0,0,0,11,0,2,2,4,27,45,3,3,2,21,46,70,8,0,8,2,4,8,16,4,23,1,140,41,0,24,0,0,1,32,9,7,1,0,0,149,1,0,6,0,11,1,15,3,7,2,4,26,721,5,1,1,37,31,37,0,0,0,1,1,0,2,0,0,4,2,9,0,0,1,3,81,0,1116,0,7,3,12,2,3,15,0,136,0,1,0,3,110,0,1,0,6,0,16,1,1,76,1,4,217,196,118,1,0,271,6,7,59,3,0,2,283,220,2,1,6,40,134,169,0,0,0,19,0,160,8,0,158,12,1,0,4,0,14,7,39,142,0,2,0,54,2,12,3,30,3,338,2,0,0,0,0,1,0,8,47,15,1
25025120500,8,4,47,0,0,2,19,6,0,1,2,0,0,1,0,0,0,0,0,19,67,0,0,2,2,0,4,1,3,4,11,3,0,0,6,29,22,5,0,0,0,0,1,5,0,2,0,47,14,0,7,0,0,3,25,3,2,7,0,2,73,0,0,0,0,1,2,1,4,1,3,4,19,155,4,0,0,29,2,8,0,0,0,0,1,0,0,2,0,3,5,5,4,0,1,1,12,0,203,0,7,1,2,0,1,12,0,80,0,0,0,0,90,1,0,0,1,0,2,0,1,16,2,2,78,102,13,0,0,97,1,2,43,0,0,0,104,54,1,0,1,11,40,71,0,0,0,16,1,48,0,0,42,3,0,0,1,0,2,3,6,39,1,1,0,14,1,4,5,22,4,140,0,0,1,0,0,0,0,1,12,2,3
25025120600,10,2,63,1,0,3,35,6,4,1,3,0,1,0,0,0,1,0,0,17,74,0,0,0,0,0,2,0,3,8,12,4,0,1,3,16,2,3,0,0,0,0,1,2,1,9,0,26,19,1,6,0,0,1,20,2,0,1,0,0,164,0,0,0,0,8,3,3,2,0,0,3,15,263,3,0,1,12,6,23,0,0,0,0,0,0,0,5,2,2,0,3,0,0,1,2,9,0,523,0,0,0,0,0,0,13,0,62,0,0,0,1,80,0,0,0,5,0,8,0,0,32,0,0,77,110,42,0,0,154,0,0,37,0,0,0,148,77,0,0,2,7,47,35,0,0,0,27,1,63,0,0,39,0,0,0,1,0,1,8,7,31,1,2,0,11,0,5,1,15,0,139,0,0,2,0,0,0,0,5,9,2,1
25025120700,16,0,30,0,1,40,47,0,0,0,2,0,3,0,0,0,0,0,0,11,32,0,0,0,1,0,0,0,1,5,11,3,0,0,7,11,7,2,0,1,0,1,2,5,0,3,0,46,20,0,3,0,0,0,11,3,0,1,0,0,75,0,0,0,0,4,0,3,1,1,0,0,12,225,2,0,0,19,6,14,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,17,0,354,0,1,1,0,1,1,4,0,28,0,0,0,2,50,0,0,0,3,0,5,0,0,28,0,0,187,90,21,0,0,63,0,2,29,0,0,0,80,42,1,0,1,5,29,39,0,0,0,4,0,36,1,0,35,1,0,0,1,0,2,1,19,70,0,0,0,3,0,3,1,6,1,35,0,0,1,0,0,0,0,3,4,6,0
25025130100,1,2,50,0,0,1,102,8,5,0,4,2,2,0,0,0,0,0,0,60,22,0,0,0,9,0,3,0,3,10,14,0,0,0,23,5,94,4,2,4,0,0,0,22,0,20,2,10,46,0,5,0,0,0,27,2,1,1,0,1,28,0,0,2,0,0,0,11,1,2,3,1,19,556,4,1,0,2,12,108,0,0,0,0,0,0,0,2,1,1,0,13,1,0,0,2,1,0,109,0,2,12,12,3,1,8,0,103,0,0,0,7,32,1,0,1,4,0,16,0,0,17,0,0,325,57,72,3,0,145,4,14,46,0,0,0,519,357,0,0,9,41,184,68,0,0,0,1,2,111,3,0,187,0,0,0,5,0,3,2,93,399,2,1,0,12,0,3,1,13,4,78,0,0,0,0,0,0,0,1,23,2,0
